run_file,tag,step,wall_time,value,type
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,5,1771930517.6316938,1.5950803756713867,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,10,1771930743.9556518,1.5777537822723389,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,15,1771930993.2206602,1.5350035429000854,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,20,1771931210.3556476,1.4834232330322266,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,25,1771931452.3286989,1.4278091192245483,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,30,1771931669.2462394,1.3682321310043335,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,35,1771931913.4171176,1.3168903589248657,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,40,1771932131.4418967,1.2663156986236572,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,45,1771932375.3926826,1.2212646007537842,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,50,1771932593.1177924,1.1731724739074707,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,55,1771932876.401038,1.1308010816574097,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,60,1771933093.761012,1.0867840051651,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,65,1771933338.3172364,1.0480363368988037,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,70,1771933556.8295867,1.008711814880371,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,75,1771933801.4088125,0.9713011980056763,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,80,1771934018.562731,0.9351969957351685,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,85,1771934262.8321636,0.9071065783500671,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,90,1771934480.26944,0.8769515752792358,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,95,1771934724.474043,0.8552279472351074,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,100,1771934941.2126534,0.831628680229187,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,105,1771935222.0180225,0.8127538561820984,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,110,1771935440.2541795,0.7978058457374573,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,115,1771935684.1425912,0.78249591588974,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,120,1771935902.3900137,0.7695040106773376,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,125,1771936147.162789,0.7595713138580322,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,130,1771936366.0396185,0.7546499371528625,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,135,1771936610.556646,0.7505250573158264,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,140,1771936827.9491036,0.7457141876220703,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,145,1771937072.3712635,0.7444568276405334,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/loss,150,1771937289.7175057,0.7444119453430176,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,5,1771930517.6317418,0.234375,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,10,1771930743.955695,0.23046875,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,15,1771930993.2207122,0.228515625,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,20,1771931210.3556902,0.22265625,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,25,1771931452.3287408,0.2177734375,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,30,1771931669.246294,0.2119140625,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,35,1771931913.4171603,0.203125,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,40,1771932131.441942,0.2001953125,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,45,1771932375.3927305,0.197265625,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,50,1771932593.1178353,0.205078125,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,55,1771932876.40108,0.1962890625,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,60,1771933093.7610538,0.2255859375,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,65,1771933338.3172832,0.205078125,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,70,1771933556.8296297,0.1962890625,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,75,1771933801.4088616,0.2158203125,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,80,1771934018.562776,0.2021484375,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,85,1771934262.832206,0.1953125,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,90,1771934480.269482,0.2255859375,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,95,1771934724.4740853,0.1845703125,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,100,1771934941.2127035,0.220703125,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,105,1771935222.0180688,0.1689453125,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,110,1771935440.2542272,0.1865234375,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,115,1771935684.142635,0.173828125,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,120,1771935902.3900635,0.2138671875,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,125,1771936147.162834,0.1787109375,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,130,1771936366.0396628,0.2197265625,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,135,1771936610.55669,0.1767578125,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,140,1771936827.9491525,0.18359375,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,145,1771937072.371309,0.224609375,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/grad_norm,150,1771937289.7175574,0.1943359375,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,5,1771930517.6317604,7.999999979801942e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,10,1771930743.955711,9.7241381808999e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,15,1771930993.2207384,9.379310540680308e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,20,1771931210.3557062,9.034482900460716e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,25,1771931452.3287559,8.689655260241125e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,30,1771931669.2463193,8.344827620021533e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,35,1771931913.417176,7.999999979801942e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,40,1771932131.4419742,7.65517233958235e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,45,1771932375.3927462,7.3103446993627585e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,50,1771932593.1178515,6.965517059143167e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,55,1771932876.4010959,6.620689873670926e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,60,1771933093.7610695,6.275862233451335e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,65,1771933338.3172994,5.931034593231743e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,70,1771933556.8296459,5.586206953012152e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,75,1771933801.4088857,5.24137931279256e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,80,1771934018.562791,4.8965516725729685e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,85,1771934262.832228,4.551724032353377e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,90,1771934480.2694983,4.206896392133785e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,95,1771934724.4741008,3.862068751914194e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,100,1771934941.212727,3.5172413390682777e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,105,1771935222.018085,3.172413698848686e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,110,1771935440.2542431,2.82758628600277e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,115,1771935684.1426501,2.4827586457831785e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,120,1771935902.390079,2.137931005563587e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,125,1771936147.1628509,1.7931034790308331e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,130,1771936366.0396798,1.4482758388112416e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,135,1771936610.5567067,1.1034483122784877e-06,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,140,1771936827.9491777,7.586206720588962e-07,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,145,1771937072.3713257,4.137931171044329e-07,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/learning_rate,150,1771937289.717582,6.896551951740548e-08,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,5,1771930517.6317751,1.1670989990234375,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,10,1771930743.9557238,1.1735984086990356,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,15,1771930993.2207553,1.1883258819580078,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,20,1771931210.3557189,1.2160677909851074,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,25,1771931452.3287687,1.244017481803894,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,30,1771931669.246339,1.2738169431686401,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,35,1771931913.417189,1.3007439374923706,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,40,1771932131.4419944,1.319074273109436,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,45,1771932375.392759,1.3439371585845947,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,50,1771932593.1178646,1.3575892448425293,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,55,1771932876.4011095,1.3680968284606934,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,60,1771933093.761085,1.375594973564148,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,65,1771933338.3173134,1.3806811571121216,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,70,1771933556.82966,1.3821052312850952,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,75,1771933801.4089053,1.381143569946289,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,80,1771934018.5628033,1.3743473291397095,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,85,1771934262.832241,1.3649836778640747,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,90,1771934480.2695115,1.3627238273620605,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,95,1771934724.4741132,1.347839117050171,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,100,1771934941.2127457,1.3473094701766968,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,105,1771935222.0180986,1.3366645574569702,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,110,1771935440.254256,1.330095648765564,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,115,1771935684.142664,1.3222795724868774,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,120,1771935902.3900921,1.3204694986343384,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,125,1771936147.1628652,1.3055052757263184,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,130,1771936366.0396936,1.2986421585083008,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,135,1771936610.5567198,1.298365831375122,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,140,1771936827.9491942,1.2901592254638672,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,145,1771937072.3713388,1.2943941354751587,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/entropy,150,1771937289.717601,1.2890864610671997,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,5,1771930517.6317887,137194.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,10,1771930743.9557376,274407.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,15,1771930993.2207708,411604.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,20,1771931210.3557312,548807.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,25,1771931452.3287807,685995.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,30,1771931669.2463586,823189.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,35,1771931913.4172077,960385.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,40,1771932131.442007,1097578.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,45,1771932375.3927703,1234789.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,50,1771932593.1178765,1371977.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,55,1771932876.4011211,1509182.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,60,1771933093.7610977,1646375.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,65,1771933338.317326,1783574.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,70,1771933556.8296719,1920772.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,75,1771933801.4089184,2057968.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,80,1771934018.5628142,2195159.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,85,1771934262.832253,2332362.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,90,1771934480.2695231,2469563.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,95,1771934724.474124,2606763.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,100,1771934941.2127576,2743954.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,105,1771935222.0181115,2881142.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,110,1771935440.254268,3018341.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,115,1771935684.142676,3155539.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,120,1771935902.3901043,3292731.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,125,1771936147.1628768,3429926.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,130,1771936366.0397062,3567131.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,135,1771936610.556732,3704345.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,140,1771936827.9492064,3841543.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,145,1771937072.3713508,3978735.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/num_tokens,150,1771937289.7176142,4115931.0,scalar
events.out.tfevents.1771930286.938c31f14087.16817.0,train/mean_token_accuracy,5,1771930517.6318011,0.6360499858856201,scalar
